,Player,Pos,Age,MP,Starts,Min,90s,SoTA,Saves,Save%,Save%,W,D,L,CS,CS%
0,Emiliano Martínez,GK,29,7,7,690,7.7,13,6,53.8,0,4,2,1,3,42.9
1,Hugo Lloris,GK,35,6,6,570,6.3,24,17,83.3,0,5,1,0,1,16.7
2,Steve Mandanda,GK,37,1,1,90,1,3,2,66.7,,0,0,1,0,0
3,Dominik Livaković,GK,27,7,7,690,7.7,31,24,80.6,0,2,4,1,2,28.6
4,Yassine Bounou,GK,31,6,6,570,6.3,11,7,54.5,,2,2,2,3,50
5,Munir,GK,33,1,1,90,1,3,3,100,,1,0,0,1,100
6,Andries Noppert,GK,28,5,5,480,5.3,22,18,86.4,0,3,2,0,2,40
7,Jordan Pickford,GK,28,5,5,450,5,11,7,72.7,0,3,1,1,3,60
8,Alisson,GK,29,4,4,379,4.2,7,5,71.4,,3,1,0,2,50
9,Ederson,GK,28,1,1,90,1,3,2,66.7,,0,0,1,0,0
10,Wéverton,GK,34,1,0,11,0.1,0,0,,,0,0,0,0,
11,Diogo Costa,GK,22,5,5,450,5,17,11,64.7,,3,0,2,1,20
12,Shūichi Gonda,GK,33,4,4,390,4.3,19,15,84.2,0,2,1,1,0,0
13,Edouard Mendy,GK,30,4,4,360,4,14,7,50,,2,0,2,0,0
14,Mathew Ryan,GK,30,4,4,360,4,18,12,66.7,,2,0,2,2,50
15,Yann Sommer,GK,33,3,3,270,3,19,12,63.2,,1,0,2,1,33.3
16,Gregor Kobel,GK,24,1,1,90,1,4,2,50,,1,0,0,0,0
17,Unai Simón,GK,25,4,4,390,4.3,9,6,66.7,,1,2,1,2,50
18,Matt Turner,GK,27,4,4,360,4,12,8,75,0,1,2,1,2,50
19,Wojciech Szczęsny,GK,32,4,4,360,4,28,21,82.1,100,1,1,2,2,50
20,Kim Seung-gyu,GK,31,4,4,360,4,19,11,63.2,0,1,1,2,1,25
21,Manuel Neuer,GK,36,3,3,270,3,13,8,61.5,,1,1,1,0,0
22,Hernán Galíndez,GK,35,3,3,270,3,4,1,50,0,1,1,1,1,33.3
23,Devis Epassy,GK,29,2,2,180,2,12,9,75,,1,1,0,1,50
24,André Onana,GK,26,1,1,80,0.9,3,2,66.7,,0,0,1,0,0
25,Sergio Rochet,GK,29,3,3,270,3,7,4,85.7,50,1,1,1,2,66.7
26,Aimen Dahmen,GK,25,3,3,270,3,10,9,90,,1,1,1,2,66.7
27,Guillermo Ochoa,GK,36,3,3,270,3,6,2,50,100,1,1,1,1,33.3
28,Thibaut Courtois,GK,30,3,3,270,3,11,8,81.8,100,1,1,1,2,66.7
29,Lawrence Ati-Zigi,GK,25,3,3,270,3,17,10,64.7,0,1,0,2,0,0
30,Mohammed Al-Owais,GK,30,3,3,270,3,19,14,78.9,0,1,0,2,0,0
31,Alireza Beiranvand,GK,29,2,2,109,1.2,5,4,80,,0,0,2,0,0
32,Hossein Hosseini,GK,29,2,1,161,1.8,10,4,40,,1,0,0,1,100
33,Keylor Navas,GK,35,3,3,270,3,22,11,54.5,0,1,0,2,1,33.3
34,Kasper Schmeichel,GK,35,3,3,270,3,11,8,72.7,,0,1,2,1,33.3
35,Vanja Milinković-Savić,GK,25,3,3,270,3,24,16,66.7,,0,1,2,0,0
36,Wayne Hennessey,GK,35,2,2,175,1.9,5,4,80,,0,1,1,0,0
37,Danny Ward,GK,28,2,1,94,1,9,4,44.4,,0,0,1,0,0
38,Milan Borjan,GK,34,3,3,270,3,15,8,53.3,,0,0,3,0,0
39,Meshaal Barsham,GK,24,2,2,180,2,9,4,44.4,,0,0,2,0,0
40,Saad Al Sheeb,GK,32,1,1,90,1,3,1,66.7,0,0,0,1,0,0
